"Info";"Date";"Time";"TimeStamp";"0,1 - KCU_LoopCnt";"0,1 - KCU_OsEtime";"0,1 - KCU_LoopTime";"0,1 - KCU_TimeWorkActual";"0,1 - KCU_RAM";"0,1 - KCU_OsStart";"0,2 - KFU_LoopCnt";"0,2 - KFU_OsEtime";"0,2 - KFU_LoopTime";"0,2 - KFU_TimeWorkActual";"0,2 - KFU_RAM";"0,2 - KFU_OsStart";"0,4 - KFU_3_LoopCnt";"0,4 - KFU_3_OsEtime";"0,4 - KFU_3_LoopTime";"0,4 - KFU_3_TimeWorkActual";"0,4 - KFU_3_RAM";"0,4 - KFU_3_OsStart";"0,7 - KAU_7_LoopCnt";"0,7 - KAU_7_OsEtime";"0,7 - KAU_7_LoopTime";"0,7 - KAU_7_TimeWorkActual";"0,7 - KAU_7_RAM";"0,7 - KAU_7_OsStart";"0,11 - KAU_6_LoopCnt";"0,11 - KAU_6_OsEtime";"0,11 - KAU_6_LoopTime";"0,11 - KAU_6_TimeWorkActual";"0,11 - KAU_6_RAM";"0,11 - KAU_6_OsStart"
"System: New System";"2024-10-24";"16:12:53.538";"0";"22445";"26944";"12";"7";"0";"0";"15399";"26928";"19";"18";"0";"0";"26922";"26932";"10";"7";"0";"0";"22436";"26935";"12";"7";"0";"0";"44892";"26938";"6";"3";"0";"0"
"Log page: New advanced parameter page (2)";"2024-10-24";"16:12:53.596";"58";"22455";"26956";"12";"9";"0";"0";"15405";"26939";"20";"19";"0";"0";"26931";"26941";"10";"5";"0";"0";"22442";"26942";"12";"7";"0";"0";"44902";"26944";"6";"2";"0";"0"
"";"2024-10-24";"16:12:53.645";"107";"22460";"26962";"12";"8";"0";"0";"15408";"26944";"18";"17";"0";"0";"26936";"26946";"10";"6";"0";"0";"22446";"26947";"12";"7";"0";"0";"44910";"26949";"6";"3";"0";"0"
"";"2024-10-24";"16:12:53.704";"166";"22464";"26967";"12";"9";"0";"0";"15411";"26950";"20";"19";"0";"0";"26942";"26952";"10";"5";"0";"0";"22451";"26953";"12";"7";"0";"0";"44920";"26955";"6";"2";"0";"0"
"";"2024-10-24";"16:12:53.752";"214";"22468";"26972";"12";"7";"0";"0";"15413";"26954";"18";"17";"0";"0";"26946";"26956";"10";"7";"0";"0";"22455";"26958";"12";"8";"0";"0";"44928";"26960";"6";"3";"0";"0"
"";"2024-10-24";"16:12:53.799";"261";"22473";"26978";"12";"8";"0";"0";"15416";"26959";"20";"17";"0";"0";"26951";"26961";"10";"6";"0";"0";"22459";"26963";"12";"6";"0";"0";"44936";"26965";"6";"2";"0";"0"
"";"2024-10-24";"16:12:53.847";"309";"22477";"26983";"12";"6";"0";"0";"15419";"26965";"18";"17";"0";"0";"26956";"26966";"10";"6";"0";"0";"22463";"26967";"12";"6";"0";"0";"44944";"26970";"6";"2";"0";"0"
"";"2024-10-24";"16:12:53.907";"369";"22481";"26987";"12";"9";"0";"0";"15422";"26970";"18";"19";"0";"0";"26962";"26972";"10";"6";"0";"0";"22468";"26973";"12";"6";"0";"0";"44954";"26976";"6";"3";"0";"0"
"";"2024-10-24";"16:12:53.971";"433";"22485";"26992";"12";"8";"0";"0";"15425";"26975";"18";"17";"0";"0";"26968";"26978";"10";"5";"0";"0";"22473";"26979";"12";"9";"0";"0";"44964";"26982";"6";"3";"0";"0"
"";"2024-10-24";"16:12:54.017";"479";"22491";"26999";"12";"9";"0";"0";"15428";"26981";"20";"17";"0";"0";"26973";"26983";"10";"6";"0";"0";"22477";"26984";"12";"7";"0";"0";"44972";"26986";"6";"3";"0";"0"
"";"2024-10-24";"16:12:54.077";"539";"22495";"27004";"12";"9";"0";"0";"15431";"26987";"21";"20";"0";"0";"26979";"26989";"10";"6";"0";"0";"22482";"26990";"12";"7";"0";"0";"44982";"26992";"6";"3";"0";"0"
"";"2024-10-24";"16:12:54.137";"599";"22500";"27010";"12";"9";"0";"0";"15434";"26993";"20";"18";"0";"0";"26985";"26995";"10";"6";"0";"0";"22487";"26996";"12";"7";"0";"0";"44992";"26998";"6";"2";"0";"0"
"";"2024-10-24";"16:12:54.184";"646";"22505";"27016";"12";"8";"0";"0";"15437";"26998";"18";"17";"0";"0";"26990";"27000";"10";"5";"0";"0";"22491";"27001";"12";"6";"0";"0";"45000";"27003";"6";"2";"0";"0"
"";"2024-10-24";"16:12:54.243";"705";"22509";"27021";"12";"8";"0";"0";"15440";"27003";"18";"18";"0";"0";"26995";"27005";"10";"6";"0";"0";"22496";"27007";"12";"7";"0";"0";"45010";"27009";"6";"2";"0";"0"
"";"2024-10-24";"16:12:54.302";"764";"22513";"27026";"12";"9";"0";"0";"15443";"27009";"18";"17";"0";"0";"27001";"27011";"10";"5";"0";"0";"22501";"27013";"12";"7";"0";"0";"45020";"27015";"6";"2";"0";"0"
